LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value
CZE	GFCF	TOT	AGRWTH	A	1996	9.827864
CZE	GFCF	TOT	AGRWTH	A	1997	-5.20566
CZE	GFCF	TOT	AGRWTH	A	1998	-1.142052
CZE	GFCF	TOT	AGRWTH	A	1999	-2.642507
CZE	GFCF	TOT	AGRWTH	A	2000	8.393093
CZE	GFCF	TOT	AGRWTH	A	2001	5.575236
CZE	GFCF	TOT	AGRWTH	A	2002	2.185104
CZE	GFCF	TOT	AGRWTH	A	2003	1.780145
CZE	GFCF	TOT	AGRWTH	A	2004	3.913907
CZE	GFCF	TOT	AGRWTH	A	2005	6.393823
CZE	GFCF	TOT	AGRWTH	A	2006	5.871202
CZE	GFCF	TOT	AGRWTH	A	2007	13.522587
CZE	GFCF	TOT	AGRWTH	A	2008	2.529741
CZE	GFCF	TOT	AGRWTH	A	2009	-10.094229
CZE	GFCF	TOT	AGRWTH	A	2010	1.34665
CZE	GFCF	TOT	AGRWTH	A	2011	0.863828
CZE	GFCF	TOT	AGRWTH	A	2012	-3.091515
CZE	GFCF	TOT	AGRWTH	A	2013	-2.494269
CZE	GFCF	TOT	AGRWTH	A	2014	3.925976
CZE	GFCF	TOT	AGRWTH	A	2015	10.190152
CZE	GFCF	TOT	AGRWTH	A	2016	-3.108807
CZE	GFCF	TOT	AGRWTH	A	2017	3.713926
CZE	GFCF	TOT	AGRWTH	A	2018	7.161781
DNK	GFCF	TOT	AGRWTH	A	1990	-0.24235
DNK	GFCF	TOT	AGRWTH	A	1991	-2.325529
DNK	GFCF	TOT	AGRWTH	A	1992	-0.513164
DNK	GFCF	TOT	AGRWTH	A	1993	-2.643184
DNK	GFCF	TOT	AGRWTH	A	1994	6.860391
DNK	GFCF	TOT	AGRWTH	A	1995	10.565482
DNK	GFCF	TOT	AGRWTH	A	1996	5.317653
DNK	GFCF	TOT	AGRWTH	A	1997	10.207636
DNK	GFCF	TOT	AGRWTH	A	1998	6.646178
DNK	GFCF	TOT	AGRWTH	A	1999	-0.26142
DNK	GFCF	TOT	AGRWTH	A	2000	8.166504
DNK	GFCF	TOT	AGRWTH	A	2001	-0.467088
DNK	GFCF	TOT	AGRWTH	A	2002	-2.293209
DNK	GFCF	TOT	AGRWTH	A	2003	1.638411
DNK	GFCF	TOT	AGRWTH	A	2004	3.516896
